racket_name,manufacturer,head_size_in,head_size_cm,length_in,length_cm,weight_oz,weight_g,balance_in,balance_cm,balance_pts,swingweight,stiffness,beam_width_1,beam_width_2,beam_width_3,composition,power_level,stroke_style,swing_speed,grip_type,string_mains,string_crosses,stringing_instructions,racquet_colors,string_tension
"Yonex VCORE 25"" Junior Racquet (4)",,100,645.16,25,63.5,8.5,240 g,,,,,,,,,Graphite / VDM,,,,,16,18,18 Crosses,Red,
Yonex VCORE 98 Sand Beige Racquet,,98,632.26,27,68.58,11.4,323,12.79,32.49,6,318,62,23,23,21,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Beige!,45-60 pounds
Yonex EZONE 98 (2025) Racquet,,98,632.26,27,68.58,11.4,323,12.79,32.49,6,320,63,23.8,24.5,19.5,Minolon/2NAMD-Speed/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Synthetic,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Blue,45-60 pounds
Yonex VCORE 95 Sand Beige Racquet,,95,612.9,27,68.58,11.5,326,12.59,31.98,7,321,61,22,22,21,2G-Namd FlexForce/H.M. Graphite,Low,Full,Fast,Yonex Synthetic,16,20,"20 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Beige!,45-60 pounds
Yonex EZONE 110 Racquet,,110,709.68,27.25,69.22,9.6,272,13.45,34.16,1,302,66,26,29,24,H.M. Graphite,Medium,Medium,Medium,Yonex Synthetic,16,18,"18 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Blue,40-55 pounds
Yonex EZONE 105 (2025) Racquet,,105,677.42,27,68.58,10.2,289,13.38,33.99,1,312,66,24,26.5,23,Minolon/2NAMD-Speed/HM Graphite,Medium,Medium,Medium,Yonex Synthetic,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Blue,40-55 pounds
Yonex VCORE 100 Racquet,,100,645.16,27,68.58,11.3,320,13,33.02,4,322,65,25.3,25.3,22,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Red,45-60 pounds
Yonex EZONE 105 Racquet,,105,677.42,27,68.58,10.2,289,13.38,33.99,1,303,67,24,26.5,23.5,2G-NAMD Speed/HM Graphite,Medium,Medium,Medium,Yonex Synthetic,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Blue/Green,40-55 pounds
Yonex EZONE 98 Tour 2022 Racquet,,98,632.26,27,68.58,11.7,332,12.99,32.99,4,332,64,23.5,24.5,19.5,2G-NAMD SPEED/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Blue,45-60 pounds
Yonex VCORE 100L Sand Beige Racquet,,100,645.16,27,68.58,10.5,298,13.38,33.99,1,312,66,25.3,25.3,22,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Beige!,45-60 pounds
Yonex EZONE 98+ (2025) Racquet,,98,632.26,27.5,69.85,11.4,323,13.07,33.2,5,334,62,23.8,24.5,19.5,Minolon/2NAMD-Speed/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Synthetic,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Blue,45-60 pounds
Yonex EZONE 98 Racquet,,98,632.26,27,68.58,11.4,323,12.79,32.49,6,314,65,23.5,24.5,19.5,2G-NAMD SPEED/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Blue,45-60 pounds
Yonex VCORE 100+ Racquet,,100,645.16,27.5,69.85,11.2,318,13.38,33.99,3,335,64,25.3,25.3,22,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Red,45-60 pounds
Yonex EZONE 100L (2025) Racquet,,100,645.16,27,68.58,10.6,301,13.18,33.48,3,310,67,24.5,26.5,23,Minolon/2NAMD-Speed/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Blue,40-55 pounds
Yonex Percept 100 Racquet,,100,645.16,27,68.58,11.1,315,13,33.02,4,318,66,23,23,23,2G-Namd/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Mint,45-60 pounds
Yonex EZONE Ace Racquet,,102,658.06,27,68.58,9.7,275,13.85,35.18,3 pts HH,313,65,24,26.5,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Blue,40-55 pounds
Yonex VCORE 100L Racquet,,100,645.16,27,68.58,10.5,298,13.38,33.99,1,312,66,25.3,25.3,22,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Red,45-60 pounds
Prince ATS Textreme Tour 95 Racquet,,95,612.9,27,68.58,11.9,337,12.5,31.75,8,324,61,22,22,19,Textreme/Twaron/Graphite,Low,Full,Fast,Prince Resi Pro,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",White,45-55 pounds
Prince Textreme Warrior 100 Racquet,,100,645.16,27,68.58,11.14,315.81,12.7,32.26,6,320,66,24,25.5,22.5,Graphite/Textreme,Low-Medium,Medium-Full,Medium-Fast,Prince ResiPro,16,18,"18 Crosses Mains skip: 7T,9T,8H Two Piece No Shared Holes",Black w/ Silver & White,50-60 pounds
Prince Phantom 100X 18x20 Racquet 2024,,100,645.16,27,68.58,11.8,335,12.5,31.75,8,327,59,22,20.5,18,Textreme/Zylon/Graphite,Low,Full,Fast,Prince ResiTex Tour,18,20,"20 Crosses Mains skip: 8T,10T,8H,10H Two Pieces No Shared Holes",Green,45-55 pounds
"Prince Ripstick 26"" Junior Racquet",,100,645.16,26,66.04,8.5,240 g,,,,,,,,,Graphite,,,,,16,19,19 Crosses,Black/Red/White,
Prince Ripstick 100 280g Racquet,,100,645.16,27,68.58,10.4,295,13.7,34.8,2 pts HH,319,63,27,25.5,22,TexTreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince ResiTex Pro,16,18,"18 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Black/White/Red/Yellow,50-60 pounds
"Prince Ripstick 25"" Junior Racquet",,100,645.16,25,63.50,7.9,225 g,,,,,,,,,Graphite,,,,,16,19,19 Crosses,Black/Blue/White,
Prince O3 Legacy 120 Racquet 2024,,120,774.19,27.25,69.22,9.7,275,14.2,36.07,5 pts HH,330,69,27.5,29.5,27,Twaron/Textreme/Zylon/Graphite,High,Compact,Slow,Prince ResiTex Soft,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Gold,55-65 pounds
Prince Ripcord 100 280g Racquet,,100,645.16,27,68.58,10.4,295,13,33.02,4,315,66,27,25,22,Textreme/Zylon/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince ResiTex Pro,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Blue,48-58 pounds
Prince ATS Textreme Tour 98 Carbon Racquet,,98,632.26,27,68.58,11.4,323,12.79,32.49,6,325,62,23,23,20,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince Resi Pro,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Carbon,48-58 pounds
Prince Ripcord 100 300g Racquet,,100,645.16,27,68.58,11.2,318,13,32.38,6,322,68,27,25,22,Textreme/Zylon/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince ResiTex Pro,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Blue,48-58 pounds
Prince Ripstick 100 300g Racquet,,100,645.16,27,68.58,11.2,318,13,33.02,4,325,64,27,25.5,22,TexTreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince ResiTex Pro,16,18,"18 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Black/White/Red/Yellow,50-60 pounds
Prince O3 Legacy 105 Racquet 2024,,105,677.42,27.25,69.22,10.5,298,13.57,34.47,0 pts EB,316,63,23.5,25,23,Twaron/Textreme/Zylon/Graphite,Medium-High,Compact-Medium,Slow-Moderate,Prince ResiTex Soft,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Gold,53-63 pounds
